,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
127,khatanga,71.964027,102.440613,32.58,78,70,5.01,RU,1662940266
128,le port,-20.9357423,55.2903451,72.9,81,3,6.53,RE,1662940266
129,saint-philippe,-21.3595223,55.7665126,67.59,79,37,9.91,RE,1662940267
130,bonavista,48.6533449,-53.11182489999999,57.99,97,100,27.63,CA,1662940267
131,ribeira grande,37.8210369,-25.5148137,71.85,82,20,17.27,PT,1662940268
132,biltine,14.5333333,20.9166667,86.23,43,79,1.63,TD,1662940269
133,ostrovnoy,68.0603191,39.4740385,46.94,97,100,3.4,RU,1662940269
134,carnarvon,-24.8838363,113.6570584,66.96,64,76,2.08,AU,1662940270
135,georgetown,38.9076089,-77.07225849999999,78.06,89,75,4.61,US,1662940270
136,biggar,55.623396,-3.523964,61.34,98,100,6.55,GB,1662940271
137,praia da vitoria,38.7339162,-27.0646976,70.75,88,75,19.8,PT,1662940271
138,mamburao,13.2681778,120.6204892,81.48,79,92,3.91,PH,1662940272
139,yellowknife,62.4539717,-114.3717886,48.4,81,75,11.99,CA,1662940188
140,alotau,-10.3157027,150.4587795,85.73,66,82,3.27,PG,1662940273
141,ketchikan,55.34222219999999,-131.6461111,64.87,48,0,8.05,US,1662940273
142,istisu,39.9496577,45.9602292,49.12,56,0,3.36,AZ,1662940274
143,port lincoln,-34.7226381,135.8597449,54.46,82,68,8.61,AU,1662940274
144,victoria,-36.9847807,143.3906074,47.86,74,96,7.61,AU,1662940275
145,los amates,15.2557072,-89.09672309999999,78.94,91,88,1.97,GT,1662940275
146,salinopolis,-0.623754,-47.3457995,78.84,84,87,10.69,BR,1662940276
147,arlit,18.7390029,7.3894772,93.16,10,43,14.67,NE,1662940276
148,bambous virieux,-20.3438619,57.7636821,66.16,94,75,3.44,MU,1662940277
149,nelson bay,-32.7206751,152.1414806,60.78,63,3,13.0,AU,1662940277
150,lorengau,-2.0298424,147.2743657,82.81,75,79,8.55,PG,1662940278
151,namibe,-15.1978317,12.1575544,63.34,87,47,8.03,AO,1662940278
152,sentyabrskiy,60.49545690000001,72.20805969999999,34.66,94,30,4.14,RU,1662940279
153,lakselv,70.0512597,24.9485869,44.44,100,100,2.3,NO,1662940279
154,port macquarie,-31.4580174,152.8974657,67.8,58,93,3.67,AU,1662940280
155,trofors,65.5350526,13.4070111,39.07,89,100,1.14,NO,1662940280
156,dikson,73.507735,80.53103019999999,36.68,98,100,21.61,RU,1662940281
157,lompoc,34.6391501,-120.4579409,84.34,63,20,17.27,US,1662940282
158,nizhneyansk,71.450058,136.1122279,38.21,95,100,15.48,RU,1662940283
159,kodiak,57.79000000000001,-152.4072222,56.71,67,100,12.66,US,1662940283
160,manjacaze,-24.7057037,33.8801952,63.55,75,0,4.05,MZ,1662940284
161,chuy,-33.692754,-53.4552817,47.8,89,78,4.85,BR,1662940284
162,nome,64.50059089999999,-165.4086406,51.87,87,100,13.8,US,1662940285
163,kano,12.0021794,8.591956099999999,74.37,82,10,5.61,NG,1662940285
164,kampot,10.5942421,104.1640355,77.02,88,100,1.5,KH,1662940286
165,bonthe,7.525702799999999,-12.5039922,75.43,90,100,10.33,SL,1662940286
166,buxar,25.5647103,83.9777482,77.47,88,52,10.96,IN,1662940287
167,vacha,50.8242287,10.0230737,57.15,96,20,1.45,DE,1662940287
168,nuuk,64.17432339999999,-51.7372787,47.97,70,100,32.01,GL,1662940288
169,abu kamal,34.4653258,40.9081831,85.68,23,0,5.7,SY,1662940288
170,dalnerechensk,45.9294549,133.7427896,65.53,77,51,4.09,RU,1662940289
171,muros,42.8073676,-9.0460525,68.61,88,100,5.14,ES,1662940289
172,salalah,17.0193843,54.11075049999999,78.55,92,100,5.26,OM,1662940290
173,bontoc,17.091256,121.0105733,71.83,77,96,4.36,PH,1662940290
174,zabaykalsk,49.655976,117.3248847,52.05,55,2,8.57,RU,1662940290
175,noyabrsk,63.1969949,75.44238469999999,35.19,86,58,7.94,RU,1662940291
176,marcona,-15.3618294,-75.16373229999999,58.14,88,77,21.54,PE,1662940292
177,mys shmidta,68.8931114,-179.4125967,40.86,80,47,12.64,RU,1662940292
178,fortuna,40.5981867,-124.1572756,71.92,79,0,8.05,US,1662940293
179,goure,13.983577,10.2628167,83.08,57,65,6.89,NE,1662940293
180,avarua,-21.2129007,-159.7823059,76.48,73,75,12.66,CK,1662940294
181,kavieng,-2.5781167,150.8086082,84.34,62,26,15.12,PG,1662940294
182,birjand,32.8733165,59.2162938,63.1,27,0,9.22,IR,1662940295
183,talnakh,69.5,88.39999999999999,37.72,93,100,10.45,RU,1662940295
184,asau,-13.5191366,-172.6294361,80.89,81,11,18.61,WS,1662940296
185,ossora,59.23308199999999,163.067535,54.14,70,99,7.83,RU,1662940296
186,pak thong chai,14.7244149,102.0247137,80.65,90,90,3.0,TH,1662940297
187,east london,-33.0198434,27.903905,59.99,75,100,16.82,ZA,1662940297
188,port hueneme,34.1477829,-119.1951074,92.19,66,40,12.66,US,1662940261
189,cabo san lucas,22.8905327,-109.9167371,88.56,77,20,6.15,MX,1662940298
190,nador,35.1686165,-2.9275836,77.25,88,0,3.44,MA,1662940299
191,meulaboh,4.1436951,96.12811459999999,76.01,87,99,4.16,ID,1662940299
192,zitlala,17.6885367,-99.1858206,68.79,91,97,4.79,MX,1662940300
193,heishan,41.6939099,122.12066,70.0,82,8,10.87,CN,1662940300
194,chokurdakh,70.622169,147.916168,40.51,73,100,8.03,RU,1662940301
195,makung,23.5706269,119.5774616,80.8,84,4,26.08,TW,1662940301
196,umzimvubu,-30.7781755,28.9528645,49.59,83,100,6.85,ZA,1662940302
197,naze,51.8666667,1.2833333,64.08,85,99,1.99,GB,1662940303
198,oparino,59.8499363,48.2631065,42.53,96,40,2.42,RU,1662940181
199,geraldton,-28.7761346,114.611295,53.89,94,40,13.8,AU,1662940303
200,hambantota,6.1428829,81.12123079999999,77.32,84,30,15.93,LK,1662940304
201,beringovskiy,63.0611249,179.3485395,46.96,76,91,19.37,RU,1662940305
202,marsh harbour,26.5241653,-77.09098089999999,84.79,67,20,6.08,BS,1662940305
203,eldorado,54.7212138,25.2835479,50.49,96,75,8.05,LT,1662940306
204,codrington,17.6425736,-61.8204456,82.78,76,8,12.24,AG,1662940306
205,douglas,31.3445471,-109.5453447,90.0,30,42,7.65,US,1662940307
206,shangqiu,34.4142699,115.65635,73.38,64,0,2.26,CN,1662940307
207,vanavara,60.3394104,102.2965425,42.55,88,41,2.75,RU,1662940308
208,quelimane,-17.8502636,36.9218584,68.59,90,0,4.61,MZ,1662940308
209,grand river south east,-20.2888094,57.78141199999999,66.58,94,75,3.44,MU,1662940309
210,samusu,-14.0056774,-171.4299586,79.81,79,25,16.33,WS,1662940309
211,semporna,4.479391,118.611545,80.01,79,100,1.99,MY,1662940310
212,grand-santi,4.2507342,-54.38225,72.39,97,87,1.7,GF,1662940310
213,yar-sale,66.86258699999999,70.854469,42.91,87,99,11.56,RU,1662940311
214,dingle,52.14093889999999,-10.2640136,62.22,98,100,6.17,IE,1662940311
215,sitka,57.05321929999999,-135.3345513,57.65,67,100,5.61,US,1662940312
216,vryburg,-26.9584048,24.7298615,58.3,31,32,9.19,ZA,1662940312
217,mastic beach,40.7667655,-72.85204759999999,71.58,91,100,3.44,US,1662940313
218,guerrero negro,27.9591758,-114.056646,80.02,69,34,13.6,MX,1662940314
219,yavaros,26.7033549,-109.5315193,91.45,59,6,14.58,MX,1662940314
220,pokhara,28.2095831,83.9855674,70.68,92,100,1.9,NP,1662940315
221,wanning,18.7953199,110.38975,79.16,83,15,2.39,CN,1662940315
222,jiayuguan,39.7713799,98.28707999999999,62.58,26,0,2.71,CN,1662940316
223,okha,53.5893264,142.9521875,50.97,67,100,8.77,RU,1662940316
